time,lux_level
2022-05-13 15:30:32,337.08
2022-05-13 15:35:32,338.33
2022-05-13 15:40:32,336.25
2022-05-13 15:45:32,336.67
2022-05-13 15:50:32,335.0
2022-05-13 15:53:02,335.83
2022-05-13 15:58:02,326.25
2022-05-13 16:03:02,752.5
2022-05-13 16:15:32,744.17
2022-05-13 16:20:32,743.75
2022-05-13 16:33:02,742.5
2022-05-13 16:40:32,741.25
2022-05-13 16:45:32,742.92
2022-05-13 16:48:02,742.92
2022-05-13 16:53:02,743.75
2022-05-13 16:58:02,741.25
2022-05-13 17:03:02,725.0
2022-05-13 17:10:32,742.5
2022-05-13 17:15:32,744.17
2022-05-13 17:20:32,743.75
2022-05-13 17:23:02,745.0
2022-05-13 17:28:02,740.83
2022-05-13 17:35:32,745.0
2022-05-13 17:40:32,745.0
2022-05-13 17:45:32,742.5
2022-05-13 17:50:32,741.25
2022-05-13 17:55:32,741.25
2022-05-13 18:00:32,743.75
2022-05-13 18:05:32,745.42
2022-05-13 18:10:32,742.5
2022-05-13 18:15:32,739.17
2022-05-13 18:23:02,745.42
2022-05-13 18:28:02,737.92
2022-05-13 18:33:02,740.42
2022-05-13 18:38:02,744.58
2022-05-13 18:43:02,330.83
2022-05-13 18:48:02,330.83
2022-05-13 18:50:38,332.08
2022-05-13 18:55:32,331.67
2022-05-13 19:13:02,330.83
2022-05-13 19:20:34,332.08
2022-05-13 19:38:02,330.83
2022-05-13 19:45:35,332.5
2022-05-13 19:48:03,330.42
2022-05-13 19:58:02,330.83
2022-05-13 20:00:34,332.08
2022-05-13 20:03:03,330.42
2022-05-13 20:13:02,330.83
2022-05-13 20:18:06,330.83
2022-05-13 20:20:49,332.5
2022-05-13 20:23:06,332.5
2022-05-13 20:30:32,330.42
2022-05-13 20:35:32,331.67
2022-05-13 20:38:04,330.42
2022-05-13 20:43:02,330.83
2022-05-13 20:48:02,331.67
2022-05-13 20:53:03,332.08
2022-05-13 21:00:32,332.08
2022-05-13 21:03:04,332.08
2022-05-13 21:05:32,330.42
2022-05-13 21:13:02,332.5
2022-05-13 21:20:33,332.08
2022-05-13 21:33:03,330.42
2022-05-13 21:38:03,330.83
2022-05-13 21:43:03,332.08
2022-05-13 21:53:04,332.08
2022-05-13 21:55:33,331.67
2022-05-13 22:03:05,0.0
2022-05-13 22:08:03,0.0
2022-05-13 22:13:03,0.0
2022-05-13 22:20:38,0.0
2022-05-13 22:30:33,0.0
2022-05-13 22:33:07,0.0
2022-05-13 22:48:10,0.0
2022-05-13 22:50:34,0.0
2022-05-13 22:55:33,0.0
2022-05-13 23:00:33,0.0
2022-05-13 23:05:33,0.0
2022-05-13 23:18:03,0.0
2022-05-13 23:23:03,0.0
2022-05-13 23:30:33,0.0
2022-05-13 23:33:03,0.0
2022-05-13 23:35:32,0.0
2022-05-13 23:38:03,0.0
2022-05-13 23:40:33,0.0
2022-05-13 23:45:33,0.0
2022-05-13 23:53:03,0.0
2022-05-13 23:58:03,0.0
2022-05-14 00:00:33,0.0
2022-05-14 00:05:33,0.0
2022-05-14 00:13:03,0.0
2022-05-14 00:20:33,0.0
2022-05-14 00:25:33,0.0
2022-05-14 00:43:03,0.0
2022-05-14 00:48:03,0.0
2022-05-14 00:55:33,0.0
2022-05-14 01:00:33,0.0
2022-05-14 01:05:33,0.0
2022-05-14 01:08:03,0.0
2022-05-14 01:13:03,0.0
2022-05-14 01:23:03,0.0
2022-05-14 01:30:33,0.0
2022-05-14 01:33:03,0.0
2022-05-14 01:38:03,0.0
2022-05-14 01:45:33,0.0
2022-05-14 01:50:32,0.0
2022-05-14 01:55:33,0.0
2022-05-14 01:58:03,0.0
2022-05-14 02:03:03,0.0
2022-05-14 02:05:33,0.0
2022-05-14 02:10:33,0.0
2022-05-14 02:13:03,0.0
2022-05-14 02:18:03,0.0
2022-05-14 02:20:32,0.0
2022-05-14 02:25:33,0.0
2022-05-14 02:30:33,0.0
2022-05-14 02:38:02,0.0
2022-05-14 02:48:03,0.0
2022-05-14 03:23:03,0.0
2022-05-14 08:35:33,12.92
2022-05-14 10:48:03,740.83
2022-05-14 12:20:33,741.25
2022-05-14 18:55:33,0.0
2022-05-14 21:03:03,0.0
