time,pressure_level
2022-05-22 09:30:53,749.52
2022-05-22 09:33:23,749.49
2022-05-22 09:35:53,749.49
2022-05-22 09:38:22,749.5
2022-05-22 09:43:23,749.42
2022-05-22 09:45:53,749.48
2022-05-22 09:48:22,749.46
2022-05-22 09:50:52,749.44
2022-05-22 09:53:23,749.43
2022-05-22 09:55:52,749.43
2022-05-22 09:58:22,749.36
2022-05-22 10:00:53,749.41
2022-05-22 10:03:22,749.38
2022-05-22 10:05:52,749.4
2022-05-22 10:08:22,749.38
2022-05-22 10:10:53,749.39
2022-05-22 10:13:22,749.37
2022-05-22 10:15:53,749.35
2022-05-22 10:20:52,749.36
2022-05-22 10:23:22,749.35
2022-05-22 10:25:52,749.27
2022-05-22 10:28:22,749.25
2022-05-22 10:30:53,749.23
2022-05-22 10:33:23,749.22
2022-05-22 10:35:53,749.27
2022-05-22 10:38:22,749.29
2022-05-22 10:40:53,749.36
2022-05-22 10:43:22,749.32
2022-05-22 10:45:52,749.31
2022-05-22 10:48:23,749.24
2022-05-22 10:50:53,749.17
2022-05-22 10:53:22,749.09
2022-05-22 10:58:22,749.35
2022-05-22 11:00:53,749.19
2022-05-22 11:03:22,749.09
2022-05-22 11:05:52,749.14
2022-05-22 11:08:22,749.2
2022-05-22 11:10:53,749.13
2022-05-22 11:13:23,749.11
2022-05-22 11:15:53,749.1
2022-05-22 11:18:23,749.1
2022-05-22 11:23:23,749.02
2022-05-22 11:25:53,749.03
2022-05-22 11:30:53,748.97
2022-05-22 11:38:23,748.91
2022-05-22 11:40:53,748.83
2022-05-22 11:43:23,748.76
2022-05-22 11:45:53,748.83
2022-05-22 11:48:23,748.71
2022-05-22 11:50:53,748.84
2022-05-22 11:53:23,748.89
2022-05-22 11:55:53,748.89
2022-05-22 12:00:53,748.73
2022-05-22 12:03:23,748.79
2022-05-22 12:08:23,748.57
2022-05-22 12:13:23,748.66
2022-05-22 12:15:53,748.69
2022-05-22 12:18:23,748.48
2022-05-22 12:23:23,748.49
2022-05-22 12:25:53,748.43
2022-05-22 12:28:23,748.42
2022-05-22 12:30:53,748.44
2022-05-22 12:33:23,748.35
2022-05-22 12:38:23,748.38
2022-05-22 12:40:53,748.42
2022-05-22 12:45:53,748.25
2022-05-22 12:50:53,748.15
2022-05-22 12:53:23,748.23
2022-05-22 12:55:53,748.24
2022-05-22 13:00:53,748.22
2022-05-22 13:03:23,748.24
2022-05-22 13:05:53,748.2
2022-05-22 13:08:23,748.23
2022-05-22 13:10:53,748.22
2022-05-22 13:13:23,748.18
2022-05-22 13:15:53,748.17
2022-05-22 13:18:23,748.17
2022-05-22 13:23:23,748.02
2022-05-22 13:28:23,747.9
2022-05-22 13:30:53,747.94
2022-05-22 13:33:23,747.93
2022-05-22 13:38:23,747.85
2022-05-22 13:40:53,747.77
2022-05-22 13:43:23,747.72
2022-05-22 13:45:53,747.79
2022-05-22 13:48:23,747.73
2022-05-22 13:50:53,747.68
2022-05-22 13:53:23,747.69
2022-05-22 13:55:53,747.61
2022-05-22 14:00:53,747.55
2022-05-22 14:05:53,747.54
2022-05-22 14:08:23,747.42
2022-05-22 14:10:53,747.4
2022-05-22 14:15:53,747.24
2022-05-22 14:18:23,747.15
2022-05-22 14:20:53,747.16
2022-05-22 14:23:23,747.08
2022-05-22 14:25:53,747.06
2022-05-22 14:30:53,746.98
2022-05-22 14:33:23,746.95
2022-05-22 14:38:23,746.9
2022-05-22 14:45:53,746.82
2022-05-22 14:48:23,746.79
2022-05-22 14:53:23,746.78
2022-05-22 14:55:53,746.73
2022-05-22 15:00:53,746.76
2022-05-22 15:03:23,746.72
2022-05-22 15:08:23,746.67
2022-05-22 15:10:53,746.6
2022-05-22 15:13:23,746.61
2022-05-22 15:15:53,746.63
2022-05-22 15:18:23,746.59
2022-05-22 15:23:23,746.57
2022-05-22 15:25:53,746.5
2022-05-22 15:30:53,746.51
2022-05-22 15:33:23,746.42
2022-05-22 15:35:53,746.41
2022-05-22 15:38:23,746.43
2022-05-22 15:40:53,746.41
2022-05-22 15:45:53,746.38
2022-05-22 15:48:23,746.4
2022-05-22 15:50:53,746.35
2022-05-22 15:53:23,746.3
