time,hum_level
2022-05-25 06:45:55,49.11
2022-05-25 06:48:25,49.12
2022-05-25 06:50:55,49.13
2022-05-25 06:53:25,49.13
2022-05-25 06:55:55,49.11
2022-05-25 07:00:55,49.09
2022-05-25 07:03:25,49.05
2022-05-25 07:05:55,49.02
2022-05-25 07:08:25,49.01
2022-05-25 07:10:55,48.95
2022-05-25 07:13:25,48.96
2022-05-25 07:15:55,48.89
2022-05-25 07:18:25,48.78
2022-05-25 07:20:55,48.74
2022-05-25 07:23:25,48.68
2022-05-25 07:28:25,48.56
2022-05-25 07:30:55,48.59
2022-05-25 07:33:25,48.51
2022-05-25 07:35:55,48.4
2022-05-25 07:38:25,48.29
2022-05-25 07:40:55,48.18
2022-05-25 07:43:25,48.15
2022-05-25 07:45:55,48.13
2022-05-25 07:48:25,48.34
2022-05-25 07:50:55,48.22
2022-05-25 07:55:55,48.17
2022-05-25 07:58:25,48.19
2022-05-25 08:00:55,48.12
2022-05-25 08:03:25,48.14
2022-05-25 08:05:55,48.14
2022-05-25 08:08:25,48.17
2022-05-25 08:10:55,48.06
2022-05-25 08:13:25,48.11
2022-05-25 08:15:55,48.06
2022-05-25 08:18:27,47.95
2022-05-25 08:23:25,47.74
2022-05-25 08:25:55,47.74
2022-05-25 08:28:25,47.76
2022-05-25 08:30:55,47.62
2022-05-25 08:33:25,47.58
2022-05-25 08:35:55,47.44
2022-05-25 08:38:25,47.42
2022-05-25 08:40:55,47.41
2022-05-25 08:43:25,47.32
2022-05-25 08:45:55,47.28
2022-05-25 08:48:25,47.19
2022-05-25 08:50:55,47.08
2022-05-25 08:53:25,47.09
2022-05-25 08:58:25,47.08
2022-05-25 09:00:55,47.04
2022-05-25 09:03:25,46.93
2022-05-25 09:05:55,46.83
2022-05-25 09:08:25,46.75
2022-05-25 09:10:55,46.72
2022-05-25 09:13:25,46.63
2022-05-25 09:15:55,46.53
2022-05-25 09:18:25,46.48
2022-05-25 09:20:55,46.44
2022-05-25 09:25:55,46.39
2022-05-25 09:28:25,46.41
2022-05-25 09:30:55,46.33
2022-05-25 09:33:25,46.31
2022-05-25 09:35:55,46.3
2022-05-25 09:38:25,46.31
2022-05-25 09:40:55,46.3
2022-05-25 09:43:25,46.31
2022-05-25 09:45:55,46.28
2022-05-25 09:48:25,46.25
2022-05-25 09:50:55,46.2
2022-05-25 09:53:25,46.15
2022-05-25 09:55:55,46.12
2022-05-25 10:00:55,46.16
2022-05-25 10:03:25,46.4
2022-05-25 10:05:55,46.49
2022-05-25 10:08:25,46.55
2022-05-25 10:10:55,46.66
2022-05-25 10:13:25,46.75
2022-05-25 10:15:55,46.81
